timestamp,vib_x,vib_y,vib_z,vib_rms
1788592695.0574403,0.4791,0.3772,0.9425,1.1226
1788592695.1074402,0.4201,0.3788,0.9615,1.1156
1788592695.1574402,0.4354,0.4233,0.9446,1.123
1788592695.2074404,0.4638,0.3863,0.8791,1.0664
1788592695.2574403,0.4594,0.388,0.9752,1.1457
1788592695.3074403,0.4538,0.3904,0.907,1.0867
1788592695.3574402,0.4879,0.4141,0.9364,1.1342
1788592695.4074402,0.4952,0.4282,0.957,1.1595
1788592695.4574404,0.448,0.3563,0.9438,1.1038
1788592695.5074403,0.4096,0.3987,0.8968,1.0635
1788592695.5574403,0.4164,0.3891,0.9658,1.1214
1788592695.6074402,0.3905,0.3503,0.9573,1.0916
1788592695.6574402,0.4729,0.3637,0.9336,1.1079
1788592695.7074404,0.4787,0.3982,0.9447,1.1314
1788592695.7574403,0.4288,0.362,0.9769,1.1266
1788592695.8074403,0.4227,0.4218,0.9629,1.133
1788592695.8574402,0.3806,0.4173,0.9715,1.1237
1788592695.9074402,0.4676,0.3892,0.8888,1.0771
1788592695.9574404,0.48,0.3351,0.9843,1.1452
1788592696.0074403,0.4667,0.4164,0.9624,1.1478
1788592696.0574403,0.4221,0.4359,0.893,1.0796
1788592696.1074402,0.4722,0.4017,0.9557,1.1392
1788592696.1574402,0.4844,0.3708,0.9626,1.1396
1788592696.2074404,0.4352,0.3999,0.9166,1.0906
1788592696.2574403,0.4415,0.3551,0.9639,1.1181
1788592696.3074403,0.4359,0.36,0.8591,1.0284
1788592696.3574402,0.4644,0.4129,0.9892,1.1682
1788592696.4074402,0.5053,0.3591,0.9784,1.1583
1788592696.4574404,0.4776,0.3999,0.9085,1.1015
1788592696.5074403,0.4506,0.3522,0.9333,1.0946
1788592696.5574403,0.475,0.4276,0.9765,1.1671
1788592696.6074402,0.452,0.4431,0.9168,1.1141
1788592696.6574402,0.4488,0.3842,0.9778,1.1424
1788592696.7074404,0.5031,0.4245,0.9637,1.1671
1788592696.7574403,0.4548,0.3755,0.9545,1.122
1788592696.8074403,0.4446,0.3622,0.9392,1.1004
1788592696.8574402,0.4084,0.3787,1.0031,1.1474
1788592696.9074402,0.4355,0.4488,0.9143,1.1077
1788592696.9574404,0.4636,0.3272,0.9642,1.1188
1788592697.0074403,0.4475,0.3553,0.9597,1.1169
1788592697.0574403,0.4343,0.3751,1.0141,1.1652
1788592697.1074402,0.4456,0.3796,0.9629,1.1269
1788592697.1574402,0.4001,0.4267,0.8877,1.0631
1788592697.2074404,0.4081,0.3434,0.9463,1.0863
1788592697.2574403,0.4856,0.3726,0.9736,1.15
1788592697.3074403,0.4444,0.3989,0.9181,1.0952
1788592697.3574402,0.4442,0.4366,0.9537,1.1391
1788592697.4074402,0.4805,0.4474,0.9653,1.1674
1788592697.4574404,0.4619,0.3427,0.9713,1.1288
1788592697.5074403,0.4553,0.3732,0.9353,1.1052
1788592697.5574403,0.4482,0.3785,0.94,1.108
1788592697.6074402,0.4674,0.3831,0.9595,1.134
1788592697.6574402,0.4315,0.3835,0.9347,1.0986
1788592697.7074404,0.3845,0.4085,0.964,1.1154
1788592697.7574403,0.5159,0.4418,0.9537,1.1708
1788592697.8074403,0.4969,0.4217,0.9303,1.1359
1788592697.8574402,0.4857,0.4032,0.9312,1.125
1788592697.9074402,0.4319,0.3967,0.9275,1.0973
1788592697.9574404,0.4416,0.3601,0.9495,1.1074
1788592698.0074403,0.43,0.3719,0.9396,1.0982
1788592698.0574403,0.4592,0.3411,0.9553,1.1135
1788592698.1074402,0.4444,0.3871,0.8967,1.073
1788592698.1574402,0.462,0.3661,0.8882,1.066
1788592698.2074404,0.382,0.3534,1.0438,1.1663
1788592698.2574403,0.466,0.3609,1.0082,1.1678
1788592698.3074403,0.4686,0.4069,0.87,1.0687
1788592698.3574402,0.4038,0.3354,0.9513,1.0865
1788592698.4074402,0.4333,0.3631,0.9879,1.1382
1788592698.4574404,0.4693,0.3525,0.9723,1.1357
1788592698.5074403,0.4401,0.3832,0.8974,1.0704
1788592698.5574403,0.4199,0.3916,0.9392,1.1008
1788592698.6074402,0.4737,0.3253,0.9588,1.1178
1788592698.6574402,0.4853,0.3869,0.84,1.0444
1788592698.7074404,0.4005,0.4259,0.9542,1.1191
1788592698.7574403,0.4901,0.3269,0.9947,1.1561
1788592698.8074403,0.4943,0.3437,0.9745,1.1455
1788592698.8574402,0.476,0.3913,0.9237,1.1104
1788592698.9074402,0.4152,0.3799,0.9583,1.1113
1788592698.9574404,0.4617,0.4214,0.947,1.1347
1788592699.0074403,0.4335,0.3417,0.9321,1.0833
1788592699.0574403,0.4596,0.3865,0.9203,1.0989
